Occupation_x	Occupation_y	summary	sampleTitles
Petroleum Pump System Operators, Refinery Operators, and Gaugers	Petroleum Pump System Operators, Refinery Operators, and Gaugers	Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.	Board Operator, Crude Unit Operator, Gauger, Head Operator, Hydrotreater Operator, Outside Operator, Pumper, Refinery Operator, Stillman, Unit Operator
Photographic Process Workers and Processing Machine Operators	Photographic Process Workers and Processing Machine Operators	Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.	Digital Imaging Technician, Digital Printer Operator, Film Technician, Lab Technician, Photo Lab Manager, Photo Lab Specialist, Photo Lab Technician (Photographic Laboratory Technician), Photo Printer, Photo Specialist, Photo Technician
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Includes electrolytic processes.	Anodizer, Anodizing Line Operator, Chrome Plater, Coater Associate, Coater Operator, Electro Plater, Galvanizer, Line Operator, Machine Operator, Plater
Pourers and Casters, Metal	Pourers and Casters, Metal	Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.	Caster, Caster Operator, Casting Machine Operator, Die Cast Operator (DCO), Direct Chill Caster (DC Caster), Furnace Operator, General Foundry Worker, Iron Pourer, Melter - Caster, Metal Handler
Power Distributors and Dispatchers	Power Distributors and Dispatchers	Coordinate, regulate, or distribute electricity or steam.	Control Operator, Distribution Dispatcher, Distribution Operations Supervisor, Distribution System Operator, Electric System Operator, Journeyman Lineman, Power System Dispatcher, Power System Operator, System Operator, Transmission System Operator
Power Plant Operators	Power Plant Operators	Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.	Auxiliary Operator, Control Operator, Control Room Operator, Multicraft Operator (MCO), Operations and Maintenance Technician (O & M Technician), Plant Control Operator, Power Plant Operator, Senior Power Plant Operator, Station Operator, Unit Operator
Prepress Technicians and Workers	Prepress Technicians and Workers	Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.	Desktop Operator, Electronic Prepress Operator (EPP Operator), Electronic Prepress Technician (EPP Tech), Plate Maker, Plate Mounter, Pre-Press Proofer, Prepress Operator, Prepress Specialist, Prepress Stripper, Prepress Technician
Pressers, Textile, Garment, and Related Materials	Pressers, Textile, Garment, and Related Materials	Press or shape articles by hand or machine.	Dry Cleaner Presser, Garment Presser, Pants Presser, Presser, Pressing Machine Operator, Shirt Presser, Silk Presser
Print Binding and Finishing Workers	Print Binding and Finishing Workers	Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.	Binder Operator, Bindery Operator, Bindery Production Manager, Bindery Technician, Bindery Worker, Book Binder, Custom Bookbinder, Machine Operator, Perfect Binder Operator, Production Associate
Printing Press Operators	Printing Press Operators	Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.	1st Pressman, 2nd Pressman, Flexographic Press Operator, Offset Pressman, Press Leader, Press Operator, Pressman, Printer, Printing Press Operator, Printing Pressman
Production Workers, All Other	Production Workers, All Other	All production workers not listed separately.	none
Recycling and Reclamation Workers	Recycling and Reclamation Workers	Prepare and sort materials or products for recycling. Identify and remove hazardous substances. Dismantle components of products such as appliances.	Bobcat Driver/Labor, Box Sorter, Convenience Recycle Center Tech, Crane Operator, Deconstruction and Decontamination Waste Operations Specialist, Equipment Operator, Non-Ferrous Material Handler, Sort Line Worker, Sorter, Transfer Station Operator
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material.	Breakdown Mill Operator, Calender Operator, Cold Mill Operator, Controller, High Frequency Mill Operator, Mill Operator, Piercer Operator, Roll Form Operator, Rolling Mill Operator, Roughing Mill Operator
Sawing Machine Setters, Operators, and Tenders, Wood	Sawing Machine Setters, Operators, and Tenders, Wood	Set up, operate, or tend wood sawing machines. May operate CNC equipment. Includes lead sawyers.	Bandmill Operator, Cut Off Saw Operator, Edgerman, Knot Saw Operator, Panel Saw Operator, Planer, Resaw Operator, Rip Saw Operator, Saw Operator, Sawyer
Semiconductor Processors	Semiconductor Processors	Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.	Device Processing Engineer, Diffusion Operator, Engineering Technician, Fabrication Operator, Manufacture Specialist, Manufacturing Technician, Metalorganic Chemical Vapor Deposition Engineer (MOCVD Engineer), Probe Operator, Process Technician, Wafer Fabrication Operator
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.	Blender / Cook, Brewer, Cellar Worker, Cheese Maker, Digester Cook, Machine Tender, Paper Machine Tender, Plant Operator, Pulper Operator, Winemaker
Sewers, Hand	Sewers, Hand	Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.	Alteration Specialist, Couturier, Custom Clothier, Custom Designer, Custom Seamstress, Designer, Dressmaker, Seamstress
Sewing Machine Operators	Sewing Machine Operators	Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.	Bartacker, Computer Stitcher, Cord Sewer, Line Closer, Overcaster, Peak Maker, Sample Maker, Seamstress, Sewer, Sewing Machine Operator
Shoe and Leather Workers and Repairers	Shoe and Leather Workers and Repairers	Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles.	Boot Maker, Cutter, Lacer, Leather Production Worker, Leather Worker, Saddle and Harness Maker, Shoe Cutter, Shoe Maker, Shoe Repairer, Shoe Repairman
Shoe Machine Operators and Tenders	Shoe Machine Operators and Tenders	Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.	Assembler, Boot and Shoe Repairman, Boot Maker, Cutter, Finisher, Fitter, Inseamer, Insole Department Worker, Side Laster, Stitcher
Slaughterers and Meat Packers	Slaughterers and Meat Packers	Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats.	Boning Room Worker, Breast Trimmer, Fetter Bone Buster, Kill Room Operator, Meat Cutter, Meat Packager, Meat Packer, Meat Trimmer, Production Worker, Trimmer
Solderers and Brazers	Solderers and Brazers	Braze or solder together components to assemble fabricated metal parts, using soldering iron, torch, or welding machine and flux.	Assembly Line Brazer, Brazer, Connector, Electronic Technician, Fabricator, Production Technician, Refrigeration Brazer/Solderer, Refrigeration Specialist, Solderer, Wirer
Welders, Cutters, and Welder Fitters	Welders, Cutters, and Welder Fitters	Use hand-welding or flame-cutting equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.	Aluminum Welder, Fabrication Welder, Fabricator, Fitter/Welder, Maintenance Welder, Mig Welder, Sub Arc Operator, Welder, Welder-Fitter, Welder/Fabricator
Welders, Cutters, Solderers, and Brazers	Welders, Cutters, Solderers, and Brazers	Use hand-welding, flame-cutting, hand soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.	none
Stationary Engineers and Boiler Operators	Stationary Engineers and Boiler Operators	Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment, such as steam engines, generators, motors, turbines, and steam boilers.	Boiler Operator, Boiler Technician, Building Engineer, Fireman, Operating Engineer, Plant Operator, Plant Utilities Engineer, Stationary Engineer, Stationary Steam Engineer, Utilities Operator
Structural Metal Fabricators and Fitters	Structural Metal Fabricators and Fitters	Fabricate, position, align, and fit parts of structural metal products.	Fabricator; Fitter; Fitter, Welder; Layout Man; Mill Beam Fitter; Ship Fitter; Structural Steel Fitter; Tack Welder; Weld Technician; Welder-Fabricator
Tailors, Dressmakers, and Custom Sewers	Tailors, Dressmakers, and Custom Sewers	Design, make, alter, repair, or fit garments.	Alterations Expert, Alterations Sewer, Couture Alterations Dressmaker, Couturiere, Custom Dressmaker, Designer, Dressmaker, Prototype Technician, Seamstress, Tailor
